,Author ID,Top 10 Cosine Similarity Scores,Paper Indices
0,12844247,"[0.946982741355896, 0.7276154160499573, 0.6893324851989746, 0.5201380848884583, 0.5106940269470215, 0.49409914016723633, 0.49381035566329956, 0.4709668755531311, 0.46945589780807495, 0.46705156564712524]","[841, 881, 297, 802, 228, 426, 146, 859, 514, 168]"
1,15501217,"[0.9423671960830688, 0.7042067050933838, 0.7009880542755127, 0.498115599155426, 0.4960426688194275, 0.4943510591983795, 0.4855342507362366, 0.45666664838790894, 0.4492186903953552, 0.44423526525497437]","[841, 881, 297, 146, 802, 514, 228, 859, 426, 3]"
2,19423001,"[0.9448103904724121, 0.7340035438537598, 0.7079111337661743, 0.5444545745849609, 0.5149885416030884, 0.5131044983863831, 0.5094723105430603, 0.47827279567718506, 0.4677540361881256, 0.4674663543701172]","[841, 297, 881, 802, 228, 514, 146, 175, 139, 22]"
3,40095521,"[0.9484739303588867, 0.7110211849212646, 0.7071853876113892, 0.5123836994171143, 0.43809381127357483, 0.4343777596950531, 0.4161909222602844, 0.3960433304309845, 0.3780360817909241, 0.3755492568016052]","[841, 297, 881, 514, 859, 228, 146, 3, 820, 175]"
4,2000440861,"[0.940748929977417, 0.7460538148880005, 0.6874842643737793, 0.5014830827713013, 0.4700828790664673, 0.46231088042259216, 0.455092191696167, 0.4516944885253906, 0.4484909772872925, 0.4327428340911865]","[841, 881, 297, 514, 859, 764, 802, 228, 146, 645]"
5,15812405,"[0.9504557251930237, 0.6993892192840576, 0.690251350402832, 0.5269205570220947, 0.4946773946285248, 0.4912589490413666, 0.46681302785873413, 0.45579075813293457, 0.4433651864528656, 0.43580880761146545]","[841, 881, 297, 514, 859, 228, 764, 645, 802, 146]"
6,40290271,"[0.9408771991729736, 0.7186722755432129, 0.6756492257118225, 0.5418674945831299, 0.5401790142059326, 0.49437934160232544, 0.49245700240135193, 0.48238760232925415, 0.4774312376976013, 0.46773651242256165]","[841, 881, 297, 228, 802, 426, 146, 514, 764, 859]"
7,3840526,"[0.9544276595115662, 0.7279003858566284, 0.7277501821517944, 0.6001408100128174, 0.5028464794158936, 0.4882771968841553, 0.47912079095840454, 0.47731131315231323, 0.46497708559036255, 0.4434303641319275]","[841, 881, 297, 514, 802, 764, 228, 146, 859, 426]"
8,1865675231,"[0.9494745135307312, 0.7337055802345276, 0.7196404933929443, 0.5959123373031616, 0.5801256895065308, 0.5405681729316711, 0.5401759743690491, 0.5325697660446167, 0.5261662006378174, 0.513335108757019]","[841, 297, 881, 228, 175, 544, 802, 514, 146, 139]"
9,7630975,"[0.9465771913528442, 0.7066007256507874, 0.7047114372253418, 0.5064963698387146, 0.4846732020378113, 0.48226332664489746, 0.4759260416030884, 0.46984606981277466, 0.4607321321964264, 0.45005714893341064]","[841, 297, 881, 802, 859, 228, 426, 146, 764, 139]"
10,148259851,"[0.9410160183906555, 0.7048249244689941, 0.6908350586891174, 0.5208194255828857, 0.49511244893074036, 0.47486114501953125, 0.45427873730659485, 0.43711912631988525, 0.4254388213157654, 0.4211963713169098]","[841, 881, 297, 514, 228, 175, 544, 929, 859, 31]"
11,120601408,"[0.9513847827911377, 0.7251921892166138, 0.712952196598053, 0.5584490895271301, 0.5515626072883606, 0.5401453971862793, 0.5372199416160583, 0.5070363283157349, 0.5051699876785278, 0.5034302473068237]","[841, 297, 881, 228, 175, 514, 802, 168, 3, 465]"
12,1737296,"[0.9440819621086121, 0.7338643670082092, 0.7234753370285034, 0.5758667588233948, 0.5591295957565308, 0.55629563331604, 0.5181187391281128, 0.5165144801139832, 0.5093107223510742, 0.49713221192359924]","[841, 297, 881, 228, 544, 175, 146, 802, 514, 31]"
13,6269223,"[0.9477945566177368, 0.7304344177246094, 0.7038388252258301, 0.5545508861541748, 0.5095558166503906, 0.5036171674728394, 0.4935299754142761, 0.47391438484191895, 0.47067791223526, 0.4680899679660797]","[841, 881, 297, 514, 175, 228, 544, 146, 697, 3]"
14,6269246,"[0.9477705955505371, 0.7152146697044373, 0.6966826915740967, 0.4715522825717926, 0.46111857891082764, 0.45882928371429443, 0.4571307301521301, 0.42753535509109497, 0.4266536831855774, 0.4199039936065674]","[841, 881, 297, 146, 859, 514, 228, 802, 3, 820]"
15,12399847,"[0.9433807134628296, 0.7248605489730835, 0.7241819500923157, 0.5932129621505737, 0.5413734912872314, 0.5267136096954346, 0.5130236744880676, 0.5058283805847168, 0.5025932192802429, 0.48592662811279297]","[841, 297, 881, 514, 175, 228, 3, 802, 544, 764]"
16,7836198,"[0.9465526342391968, 0.7078651785850525, 0.7019668221473694, 0.5313528776168823, 0.5261775255203247, 0.5185375213623047, 0.46596890687942505, 0.4635399580001831, 0.4603579640388489, 0.4500212073326111]","[841, 881, 297, 514, 228, 802, 859, 146, 764, 426]"
17,113112325,"[0.9423277378082275, 0.7311508059501648, 0.720102071762085, 0.5501465201377869, 0.5287051200866699, 0.5233317017555237, 0.514653742313385, 0.5025701522827148, 0.5016473531723022, 0.4766221344470978]","[841, 297, 881, 228, 802, 146, 175, 544, 514, 3]"
